",",71755
.,49296
the,39776
“,31136
”,30728
’,29705
to,22309
and,21529
of,18326
a,16906
Harry,15812
he,13319
was,13037
said,12707
s,12190
his,11561
I,11326
in,10356
you,9872
it,9364
?,8936
—,8364
that,8327
had,8314
at,7215
t,6630
...,6191
as,5912
on,5859
him,5767
!,5656
with,5375
Ron,5169
He,5014
for,4484
her,4332
they,4193
Hermione,4154
not,4070
be,3762
up,3677
out,3626
were,3557
but,3531
them,3387
all,3354
have,3349
from,3309
she,3168
The,3085
;,2915
into,2860
Dumbledore,2799
back,2726
been,2722
what,2692
is,2351
we,2350
this,2333
who,2327
me,2302
It,2289
could,2217
an,2155
about,2133
their,2111
so,2098
You,2091
there,2065
over,2008
one,2000
down,1992
looked,1971
Hagrid,1946
Professor,1925
around,1920
like,1892
now,1866
would,1841
just,1822
ve,1818
very,1814
know,1790
got,1779
by,1749
do,1728
your,1697
if,1691
then,1683
d,1649
when,1635
can,1635
did,1613
re,1605
But,1604
off,1581
again,1570
more,1555
though,1554
see,1553
Snape,1543
And,1520
are,1507
no,1457
Weasley,1441
They,1434
looking,1415
time,1412
think,1391
Potter,1386
ll,1385
my,1379
What,1348
don,1344
get,1336
still,1334
eyes,1318
face,1284
right,1263
going,1262
Malfoy,1257
through,1254
or,1222
voice,1217
didn,1205
than,1171
before,1170
which,1162
m,1131
She,1122
door,1114
too,1107
go,1107
Mr.,1106
will,1104
look,1073
wand,1073
room,1071
only,1049
Sirius,1049
head,1043
Well,1038
thought,1033
here,1027
There,1024
how,998
We,975
saw,971
something,961
behind,951
hand,925
himself,921
way,921
seemed,908
other,908
A,904
turned,903
away,895
toward,895
told,894
come,881
much,871
last,868
where,868
Voldemort,852
never,851
long,840
Fred,840
asked,839
want,832
after,824
:,815
once,804
No,802
heard,782
Mrs.,781
us,781
first,775
tell,771
made,759
people,752
two,752
Oh,752
left,748
knew,744
little,740
say,738
even,738
some,733
well,732
George,729
moment,728
any,727
really,723
Hogwarts,713
felt,706
might,694
has,694
Lupin,690
front,689
good,687
Neville,680
its,666
ever,666
McGonagall,660
Ginny,657
because,646
feet,634
came,626
table,626
anything,613
let,613
went,605
next,601
large,589
That,589
trying,585
few,583
took,577
Umbridge,575
make,573
take,565
So,559
open,558
another,557
sure,545
put,542
must,539
old,535
school,535
Yes,534
found,530
floor,529
gave,528
while,527
inside,524
If,523
Gryffindor,521
course,519
find,514
under,507
seen,501
three,500
Ministry,500
thing,498
hear,498
great,497
Vernon,497
hands,496
wasn,495
-,491
Moody,491
why,488
onto,488
own,488
mean,483
Yeah,482
nothing,481
end,481
J.K.,481
Rowling,481
couldn,480
bit,478
Then,476
pulled,474
His,472
night,469
How,469
Uncle,465
Fudge,464
across,463
need,463
being,461
quite,459
upon,457
Fire,457
Goblet,456
our,455
stood,453
every,450
hair,450
each,448
better,447
without,445
wanted,444
years,443
most,443
staring,443
both,442
doing,442
year,438
Dark,435
done,432
As,430
happened,426
air,424
black,423
man,422
enough,420
This,418
Dudley,416
suddenly,416
against,415
Dobby,415
boy,414
side,414
bed,411
Black,411
along,411
dark,410
mind,404
walked,404
should,404
robes,404
second,401
past,400
else,400
help,399
forward,399
Quidditch,399
already,398
rather,397
hard,397
Slughorn,396
mouth,395
quickly,392
day,389
place,389
set,386
When,385
standing,384
these,382
fell,381
keep,380
won,379
Death,377
sat,376
wizard,376
Percy,375
began,372
small,371
sitting,371
‘,370
office,369
until,369
talking,369
slightly,369
light,368
almost,368
am,367
gone,364
wouldn,364
opened,364
give,363
ter,363
things,362
tried,359
those,359
started,358
yeh,355
between,354
window,353
many,353
reached,351
full,350
whispered,349
),346
top,346
All,344
stared,342
Now,342
yet,341
castle,341
Why,338
feeling,338
always,336
same,330
able,330
coming,329
quietly,328
Don,325
later,324
however,324
Slytherin,324
Crouch,323
anyone,322
ground,322
new,320
Madam,320
raised,320
called,319
students,319
name,315
Cedric,314
shouted,313
father,313
class,313
sir,312
outside,306
(,306
watching,306
slowly,306
ask,304
everyone,304
rest,304
whole,302
fire,302
muttered,300
work,298
stopped,298
getting,298
Lord,297
far,294
together,293
saying,293
arm,293
wall,292
house,291
lot,291
feel,291
kept,290
haven,287
hadn,285
loudly,285
stop,285
someone,283
believe,282
Aunt,282
sight,281
hall,280
supposed,277
best,277
idea,277
everything,276
words,276
eye,276
taking,275
Magic,275
minutes,273
isn,273
read,272
Not,271
Filch,270
passed,269
caught,268
corridor,268
common,267
word,265
whether,265
crowd,265
shoulder,263
dead,262
making,262
half,261
morning,261
since,260
Petunia,260
In,260
nose,260
use,260
Riddle,259
Hall,258
life,257
beside,257
empty,257
desk,256
talk,255
wizards,255
followed,255
My,254
sound,254
watched,253
cold,253
remember,253
At,252
appeared,251
mother,251
holding,250
taken,249
Lockhart,248
leave,247
sort,247
parchment,246
Trelawney,246
corner,245
Who,245
usual,243
having,243
wearing,243
moved,242
Minister,242
silence,241
For,240
yes,239
Come,239
stone,239
o,238
chair,237
try,237
Eaters,237
pointing,236
alone,236
team,236
shaking,235
owl,233
cloak,232
point,232
water,232
red,230
hit,229
telling,228
book,228
Bagman,228
several,227
others,226
pointed,225
given,225
such,223
close,223
doesn,223
yelled,222
letter,222
arms,222
thinking,220
used,219
ten,218
understand,216
closed,216
five,215
heart,215
moving,215
Where,215
Great,215
Dursleys,214
dear,214
books,214
hurried,213
Just,213
Goyle,213
four,212
smile,212
magic,212
added,212
continued,212
does,211
Krum,211
Muggle,210
fact,209
dementors,209
fast,208
silver,205
watch,205
green,204
turn,203
Hedwig,203
straight,202
One,202
speak,202
Cho,202
entrance,201
Crabbe,201
held,199
either,199
body,199
shut,199
noticed,198
loud,198
Luna,198
answer,197
exactly,196
turning,195
glass,195
Bill,195
returned,194
waiting,193
wrong,193
family,193
entered,193
breath,193
days,193
lost,193
fingers,192
kill,192
noise,192
bad,192
Tonks,192
scar,191
above,191
move,190
Good,190
seem,189
least,189
gold,189
times,188
matter,188
hope,188
Wood,188
person,186
low,186
white,186
themselves,185
also,184
sorry,184
kitchen,184
trunk,184
high,183
bag,183
hat,183
deep,183
legs,182
finished,182
lay,182
Of,182
grounds,182
match,182
ago,181
doors,181
witch,181
shook,180
trouble,180
foot,180
ran,179
dropped,179
THE,178
nearly,178
Er,178
start,178
arrived,177
spoke,177
managed,177
Let,177
forest,177
girl,177
angrily,176
kind,176
died,176
thick,176
leaving,176
steps,176
staircase,175
sign,174
lying,174
please,174
ears,174
Christmas,174
Kreacher,174
met,173
tiny,173
looks,173
says,173
evening,172
parents,172
case,172
burst,172
stairs,171
potion,171
Draco,171
Wormtail,171
stupid,170
stay,170
walking,169
short,169
ceiling,169
lesson,169
sent,169
shall,168
Look,168
Seamus,168
Dean,168
expression,168
glasses,167
hour,167
Did,167
stuff,166
real,166
pulling,166
broom,166
magical,166
whose,166
threw,165
friends,165
seized,164
pain,164
blood,164
Fleur,164
soon,163
smiling,163
nobody,163
realized,162
seat,162
chance,162
pocket,161
friend,161
within,161
running,160
Winky,160
suppose,159
knows,159
clear,159
became,159
ready,158
clearly,158
enormous,158
number,157
neck,157
except,157
Magical,157
Azkaban,157
Crookshanks,157
walls,156
finally,156
angry,156
woman,156
memory,156
below,156
House,156
Karkaroff,156
Arts,155
care,154
Pomfrey,154
world,154
perhaps,154
teacher,154
home,153
tonight,153
week,153
near,153
Are,153
run,153
snapped,152
horrible,151
Prophet,151
free,151
portrait,151
happy,150
heads,150
round,150
listening,150
giving,150
train,150
okay,150
car,149
golden,149
stand,149
longer,149
points,149
completely,148
during,148
pair,147
Is,147
windows,147
anyway,147
vanished,147
wait,147
An,147
flew,147
hundred,147
thin,146
seconds,146
herself,146
chest,146
Peeves,146
Invisibility,146
big,145
son,145
flying,145
darkness,145
call,145
odd,145
Very,145
Muggles,144
Can,144
summer,144
clock,143
instead,143
stepped,143
Do,143
glanced,143
hurt,143
shot,142
Ah,142
On,141
wide,141
carrying,141
known,141
return,141
pale,140
ahead,140
meant,139
Right,139
trees,139
whom,139
quiet,138
Cup,138
beneath,137
question,137
bottle,137
sounded,137
pleased,137
barely,137
backward,137
story,135
broke,135
late,135
giant,135
Cloak,135
Arthur,135
Rita,135
hours,134
snake,134
pushed,134
lake,134
Hogsmeade,134
nodded,133
leg,133
Potions,133
girls,133
killed,132
starting,132
laughter,132
covered,132
probably,131
different,131
middle,131
After,131
tears,131
brought,131
field,131
job,131
Lavender,131
Defense,131
Snitch,131
broken,130
stomach,130
yourself,129
tea,129
less,129
laugh,129
roared,129
reckon,129
note,129
Against,129
Scabbers,129
funny,128
catch,128
true,128
gasped,128
spell,128
show,128
expect,127
hold,127
edge,127
couple,127
James,127
worse,127
Parvati,127
sky,126
carefully,126
indeed,126
yeah,126
merely,126
important,125
dinner,125
difficult,125
wants,125
breakfast,125
Dad,125
Order,125
wing,125
hospital,125
laughing,125
lessons,125
Buckbeak,125
expected,124
bright,124
dangerous,124
Your,124
it.,124
aren,124
meet,124
Granger,124
nor,123
fine,123
may,123
repeated,123
bent,123
third,123
Diggory,123
walk,122
news,122
happen,122
ought,122
led,122
Quirrell,122
elf,122
Eater,122
hardly,121
picked,121
weren,121
rose,121
silent,121
slid,121
wands,121
er,121
worry,121
dragon,121
allowed,120
laughed,120
teachers,120
faces,120
box,120
Daily,120
Angelina,120
possible,119
reason,119
leapt,119
death,119
With,119
tree,119
To,118
closer,118
working,118
piece,118
dormitory,118
apparently,118
young,117
nice,117
sharply,117
dog,117
furiously,117
ear,117
forced,117
classroom,117
homework,117
happily,116
today,116
Her,116
knees,116
boys,116
jumped,116
teeth,116
mad,115
surprise,115
heavy,115
hasn,115
dad,115
grinning,115
extremely,115
Firebolt,115
blue,114
hidden,114
become,114
Tom,114
Flitwick,114
Myrtle,114
somebody,113
direction,113
six,113
hole,113
street,112
gray,112
sit,112
myself,112
em,112
none,112
gazing,112
Skeeter,112
Bellatrix,112
wondered,111
seeing,111
huge,111
quill,111
climbed,111
smiled,111
wish,111
break,111
speaking,111
forgotten,110
disappeared,110
Maybe,110
attack,110
Slytherins,110
hastily,110
Mum,110
worried,109
apart,109
opposite,109
tightly,109
joined,109
information,109
Miss,109
spot,108
surprised,108
cauldron,108
Nick,108
knocked,107
nervously,107
needed,107
egg,107
shop,107
actually,107
Katie,107
Lucius,107
Prime,107
simply,106
paper,106
practice,106
following,106
clutching,105
decided,105
upstairs,105
sleep,105
meeting,105
pink,105
Get,105
aside,105
anymore,105
afraid,105
you.,105
picture,105
Pettigrew,105
subject,104
slipped,104
playing,104
terrible,104
drew,104
bottom,104
Ravenclaw,104
cabin,104
mirror,103
cried,103
Hufflepuff,103
alive,103
prophecy,103
strange,102
reading,102
owls,102
throat,102
oh,102
swung,102
waited,102
listen,102
nearer,102
remembered,102
particularly,102
immediately,102
task,102
Maxime,102
map,101
Nothing,101
You-Know-Who,101
heavily,101
landed,101
library,101
See,101
Tower,101
attention,101
afternoon,100
Everyone,100
power,100
